url,last_scraped
https://www.gpw.pl/spolka?isin=PLARLEN00012,2025-06-29 12:19:47.365623
https://www.gpw.pl/spolka?isin=PLARTFX00011,2025-06-29 12:19:58.707618
https://www.gpw.pl/spolka?isin=PLARTPR00012,2025-06-29 12:20:14.681359
https://www.gpw.pl/spolka?isin=PLASMGR00014,2025-06-29 12:20:32.335859
https://www.gpw.pl/spolka?isin=PLASMOT00030,2025-06-29 12:20:42.892587
https://www.gpw.pl/spolka?isin=PLASSEE00014,2025-06-29 12:20:57.856290
https://www.gpw.pl/spolka?isin=PLATAL000046,2025-06-29 12:21:08.315263
https://www.gpw.pl/spolka?isin=PLATLPL00018,2025-06-29 12:21:23.055085
https://www.gpw.pl/spolka?isin=PLATM0000021,2025-06-29 12:21:39.090661
https://www.gpw.pl/spolka?isin=PLATMSI00016,2025-06-29 12:21:55.083718
https://www.gpw.pl/spolka?isin=PLATPRT00018,2025-06-29 12:22:08.239067
https://www.gpw.pl/spolka?isin=PLATREM00017,2025-06-29 12:22:25.411392
https://www.gpw.pl/spolka?isin=PLATTFI00018,2025-06-29 12:22:39.260811
https://www.gpw.pl/spolka?isin=PLBAUMA00017,2025-06-29 12:22:55.913737
https://www.gpw.pl/spolka?isin=PLBCLTX00019,2025-06-29 12:23:06.807729
https://www.gpw.pl/spolka?isin=PLBEFSN00010,2025-06-29 12:23:17.167166
https://www.gpw.pl/spolka?isin=PLBEST000010,2025-06-29 12:23:30.754340
https://www.gpw.pl/spolka?isin=PLBGZ0000010,2025-06-29 12:23:43.335240
https://www.gpw.pl/spolka?isin=PLBH00000012,2025-06-29 12:23:54.642948
https://www.gpw.pl/spolka?isin=PLBIG0000016,2025-06-29 12:24:05.630159
https://www.gpw.pl/spolka?isin=PLBIOMX00015,2025-06-29 12:24:16.765163
https://www.gpw.pl/spolka?isin=PLBIOPL00013,2025-06-29 12:24:34.092323
https://www.gpw.pl/spolka?isin=PLBIOTN00029,2025-06-29 12:24:48.858593
https://www.gpw.pl/spolka?isin=PLBLOBR00014,2025-06-29 12:25:06.182419
https://www.gpw.pl/spolka?isin=PLBMBIT00010,2025-06-29 12:25:17.672158
https://www.gpw.pl/spolka?isin=PLBMDLB00018,2025-06-29 12:25:29.978193
https://www.gpw.pl/spolka?isin=PLBMECH00012,2025-06-29 12:25:42.291221
https://www.gpw.pl/spolka?isin=PLBNFTS00018,2025-06-29 12:25:53.193934
https://www.gpw.pl/spolka?isin=PLBOS0000019,2025-06-29 12:26:06.060685
https://www.gpw.pl/spolka?isin=PLBOWM000019,2025-06-29 12:26:21.141755
https://www.gpw.pl/spolka?isin=PLBRE0000012,2025-06-29 12:26:31.698653
https://www.gpw.pl/spolka?isin=PLBRN2400013,2025-06-29 12:26:49.243655
https://www.gpw.pl/spolka?isin=PLBRSTR00014,2025-06-29 12:26:59.632851
https://www.gpw.pl/spolka?isin=PLBRSZW00011,2025-06-29 12:27:13.377952
https://www.gpw.pl/spolka?isin=PLBSK0000017,2025-06-29 12:27:27.014504
https://www.gpw.pl/spolka?isin=PLBTCOM00016,2025-06-29 12:27:40.674877
https://www.gpw.pl/spolka?isin=PLBUDMX00013,2025-06-29 12:27:51.440711
https://www.gpw.pl/spolka?isin=PLBZ00000044,2025-06-29 12:28:02.116888
https://www.gpw.pl/spolka?isin=PLCAMMD00032,2025-06-29 12:28:13.426937
https://www.gpw.pl/spolka?isin=PLCCC0000016,2025-06-29 12:28:23.996283
https://www.gpw.pl/spolka?isin=PLCDRL000043,2025-06-29 12:28:38.919447
