company_url,shareholder,shares_count,shares_pct,votes_count,votes_pct
https://www.gpw.pl/spolka?isin=PLLZPSK00019,Luma Holding Limited,10 007 880,"43,84",10 007 880,"43,84"
https://www.gpw.pl/spolka?isin=PLMAKRM00019,Rafał Jerzy *,46 224 712,"61,34",46 224 712,"61,34"
https://www.gpw.pl/spolka?isin=PLMAKRM00019,Francois Gros *,10 593 609,"14,06",10 593 609,"14,06"
https://www.gpw.pl/spolka?isin=PLMAKRM00019,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,4 479 266,"5,94",4 479 266,"5,94"
https://www.gpw.pl/spolka?isin=PLMBION00016,Twiti Investments Limited,2 117 982,"13,10",2 712 282,"15,30"
https://www.gpw.pl/spolka?isin=PLMBION00016,Polfarmex S.A.,1 474 346,"9,12",1 957 196,"11,04"
https://www.gpw.pl/spolka?isin=PLMBION00016,Glatton Sp.z o.o.,1 097 135,"6,79",1 097 135,"6,19"
https://www.gpw.pl/spolka?isin=PLMBION00016,Celon Pharma Spółka Akcyjna,620 350,"3,84",1 113 200,"6,28"
https://www.gpw.pl/spolka?isin=PLMCIMG00012,Porozumienie p. Tomasz Czechowicz. MCI Management sp. zo.o..MCI.PrivateVentures FIZ,42 435 277,"80,89",42 435 277,"80,89"
https://www.gpw.pl/spolka?isin=PLMDCLG00015,Biofund Capital Managament LLC,4 976 384,"50,00",4 976 384,"50,00"
https://www.gpw.pl/spolka?isin=PLMDCLG00015,Powszechne Towarzystwo Emerytalne PZU S.A.,721 689,"7,25",721 689,"7,25"
https://www.gpw.pl/spolka?isin=PLMDNCE00016,Sanjeev Choudhary *,1 513 544,"19,67",1 513 544,"19,67"
https://www.gpw.pl/spolka?isin=PLMDNCE00016,Piotr Suwalski,472 408,"6,14",472 408,"6,14"
https://www.gpw.pl/spolka?isin=PLMEXPL00010,Porozumienie: p. Andrzej Domżał.p.Paweł Kowalewski.Milduks Limited.Raimita Limited,3 832 690,"50,00",3 832 690,"50,00"
https://www.gpw.pl/spolka?isin=PLMEXPL00010,Familiar S.A. SICAV-SIF,763 300,"9,96",763 300,"9,96"
https://www.gpw.pl/spolka?isin=PLMEXPL00010,Mezzo Capital Sp. z o.o.,464 424,"6,06",464 424,"6,06"
https://www.gpw.pl/spolka?isin=PLMEXPL00010,QUERCUS ABSOLUTE RETURN FUNDUSZ INWESTYCYJNY ZAMKNIĘTY,462 279,"6,03",462 279,"6,03"
https://www.gpw.pl/spolka?isin=PLMFO0000013,Tomasz Mirski,2 093 760,"31,69",2 618 760,"34,31"
https://www.gpw.pl/spolka?isin=PLMFO0000013,Marek Mirski,2 007 247,"30,38",2 507 247,"32,85"
https://www.gpw.pl/spolka?isin=PLMGRON00016,Piotr Sikora,1 151 821,"42,66",2 106 821,"43,89"
https://www.gpw.pl/spolka?isin=PLMGRON00016,Andrzej Zdanowski,575 000,"21,30",1 025 000,"21,35"
https://www.gpw.pl/spolka?isin=PLMGRON00016,Mariusz Sikora,247 299,"9,16",447 299,"9,32"
https://www.gpw.pl/spolka?isin=PLMGRON00016,Kasper Zaziemski,166 110,"6,15",331 110,"6,90"
https://www.gpw.pl/spolka?isin=PLMGRON00016,Kajetan Zaziemski,165 000,"6,11",330 000,"6,88"
https://www.gpw.pl/spolka?isin=PLMGRON00016,Kornel Zaziemski,165 000,"6,11",330 000,"6,88"
