company_url,last_day_with_right,operation_type,parameter
https://www.gpw.pl/spolka?isin=IT0005239360,2025-04-17,Dywidenda,1.4764
https://www.gpw.pl/spolka?isin=IT0005239360,2024-04-19,Dywidenda,1.8029
https://www.gpw.pl/spolka?isin=IT0005239360,2023-04-21,Dywidenda,0.9872
https://www.gpw.pl/spolka?isin=IT0005239360,2022-04-14,Dywidenda,0.5380
https://www.gpw.pl/spolka?isin=IT0005239360,2021-04-16,Dywidenda,0.1200
https://www.gpw.pl/spolka?isin=LT0000128621,2022-05-11,Dywidenda,0.3700
https://www.gpw.pl/spolka?isin=LT0000128621,2021-05-11,Dywidenda,0.5500
https://www.gpw.pl/spolka?isin=LT0000128621,2020-05-08,Dywidenda,0.7000
https://www.gpw.pl/spolka?isin=LT0000128621,2019-05-09,Dywidenda,0.5800
https://www.gpw.pl/spolka?isin=LT0000128621,2018-05-10,Dywidenda,0.3550
https://www.gpw.pl/spolka?isin=LT0000131872,2018-10-10,Dywidenda,0.5200
https://www.gpw.pl/spolka?isin=LU0122624777,2008-04-21,Dywidenda,1.4000
https://www.gpw.pl/spolka?isin=LU0327357389,2022-02-04,Dywidenda,0.4400
https://www.gpw.pl/spolka?isin=LU0327357389,2021-01-04,Dywidenda,0.4200
https://www.gpw.pl/spolka?isin=LU0327357389,2020-04-21,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=LU0327357389,2019-04-16,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=LU0327357389,2018-04-17,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=NL0000686509,2024-06-21,Dywidenda,0.5000
https://www.gpw.pl/spolka?isin=NL0000686509,2023-05-31,Dywidenda,0.5000
https://www.gpw.pl/spolka?isin=NL0000686509,2021-06-04,Dywidenda,0.5000
https://www.gpw.pl/spolka?isin=NL0009508712,2014-10-29,Dywidenda,0.0700
https://www.gpw.pl/spolka?isin=NL0009508712,2013-10-28,Dywidenda,0.0800
https://www.gpw.pl/spolka?isin=NL0015000AU7,2025-03-17,Dywidenda,0.0620
https://www.gpw.pl/spolka?isin=PL4FNMD00013,2025-06-24,Dywidenda,2.4100
https://www.gpw.pl/spolka?isin=PL4FNMD00013,2024-05-20,Dywidenda,4.1000
https://www.gpw.pl/spolka?isin=PL4FNMD00013,2023-07-03,Dywidenda,0.7300
https://www.gpw.pl/spolka?isin=PL4FNMD00013,2018-06-11,Dywidenda,0.6000
https://www.gpw.pl/spolka?isin=PL4FNMD00013,2017-10-10,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=PL4MASS00011,2020-12-16,Prawo poboru,1.00
https://www.gpw.pl/spolka?isin=PL4MASS00011,2019-04-08,Prawo poboru,1.00
https://www.gpw.pl/spolka?isin=PLA340200015,2024-07-11,Dywidenda,1.4500
https://www.gpw.pl/spolka?isin=PLA340200015,2023-07-05,Dywidenda,2.6700
https://www.gpw.pl/spolka?isin=PLA340200015,2022-07-06,Dywidenda,1.9400
https://www.gpw.pl/spolka?isin=PLAB00000019,2025-04-04,Dywidenda,3.0000
https://www.gpw.pl/spolka?isin=PLAB00000019,2024-03-13,Dywidenda,2.0000
